flux_4000,flux_5000,flux_6000,flux_7000,flux_8000,flux_9000,flux_10000,redshift
0.3586143062854763,0.36806389810992296,0.48855690873766605,0.5393416371972872,0.5285658122562358,0.5139869195320986,0.5023828616087551,1.3745401188473625
0.3206838846437235,0.3482984385617708,0.3301723128307167,0.44309583134887387,0.4819346693347545,0.49493253730489656,0.48145262082151735,1.9507143064099162
0.2878577813339518,0.4252350430322072,0.3827432997240627,0.49793745613185775,0.5147503339225853,0.5823871862590997,0.5223604879265378,1.731993941811405
0.5304478222021004,0.45751969597759085,0.40269758441367864,0.46303660392585244,0.4923073191130964,0.5370651526555884,0.5084190926478385,1.5986584841970366
0.4766596817796319,0.3998290355954621,0.5890777465790535,0.5131599648070087,0.5183238926884967,0.4564234914082755,0.548563483209392,1.1560186404424364
0.3946824452745401,0.4343122936279515,0.6224639775837099,0.5292857756379498,0.5073803068565474,0.4313284653328224,0.5631184181131683,1.1559945203362028
0.4878799382306974,0.4740447593897603,0.4893751993266384,0.5954638983181844,0.5193121879347004,0.5480507347798919,0.7515742398518296,1.0580836121681996
0.36369923491357453,0.33773375686744916,0.38604452605143913,0.4422091257718787,0.627284710445789,0.517135609667659,0.5335373198709336,1.866176145774935
0.578568460227783,0.43103276323877426,0.4457336013763986,0.46209214060216397,0.4924584358431563,0.5513495034237729,0.46143934210452003,1.6011150117432087
0.32734026585788595,0.4261733880931475,0.39680302610225127,0.48670805582933396,0.5924855632271327,0.5031490932412411,0.4748592213108188,1.7080725777960455
0.37758919494620685,0.45852122475840934,0.5038667035635985,0.5565037489946162,0.49826225755441117,0.502212014503403,0.5707415986771489,1.0205844942958024
0.3151658591196042,0.33721710125840726,0.4028875839172752,0.43651130337553395,0.43013782598494643,0.5281050623308995,0.5840384589670623,1.9699098521619942
0.3259197800129705,0.3603321685451816,0.3990704829524241,0.49963560612459473,0.589130086031559,0.5932418933927003,0.501701783134655,1.8324426408004217
0.34768106089413975,0.3499276037023499,0.46488355784895313,0.5267267589775013,0.5512449188079772,0.43504344820699037,0.5384643239588264,1.2123391106782762
0.39557582709249944,0.43603732546602053,0.6035944915351008,0.518631455504568,0.4807977004790449,0.4903638061880963,0.544198843851164,1.1818249672071006
0.44949812580337767,0.41821402938386926,0.5086440781631838,0.5585132222194121,0.5236225517900639,0.5180934918239413,0.557217456785618,1.1834045098534338
0.40145791911732265,0.4222870996453558,0.5152266246677166,0.5001455582017341,0.5251253710677825,0.4690305223594047,0.6222882393088701,1.3042422429595377
0.35099623901357857,0.40711466103568583,0.4203093268127426,0.546835578792759,0.594174646253597,0.4964899540311274,0.4584363113127633,1.524756431632238
0.33695167998055947,0.427284023968475,0.49516092351595664,0.5802758607993661,0.5336669496462285,0.47452421004674433,0.514416851248604,1.4319450186421157
0.4242009485666296,0.3856741879570918,0.4739787261557147,0.5101419747271313,0.5453176179867194,0.4171965040628364,0.6059770429776478,1.291229140198042
0.5134272193411437,0.46977175949035144,0.4080851364688527,0.44968433229103555,0.5279080968475505,0.47515388635125494,0.4660607697128277,1.6118528947223796
0.44861349190682187,0.4830771620428526,0.6553463996815505,0.5126815231175699,0.5460772774343254,0.42565283557681466,0.4266658423206494,1.139493860652042
0.3919947635335134,0.3745367332303397,0.4350144737613741,0.5128426720636525,0.5355416601279669,0.4382520300494932,0.567943503218099,1.2921446485352182
0.3800779552270827,0.42308322266242543,0.47431522646527213,0.5741043842091302,0.4776595354588546,0.4218148938062607,0.46549029183647583,1.3663618432936917
0.3820826001642154,0.39825348758324136,0.4644317097041856,0.5483150961977509,0.5017097107831417,0.5331171182157131,0.4724154347582332,1.456069984217036
